destination,username,stars,original_text,cleanliness_sentiment,cleanliness_confidence,facilities_sentiment,facilities_confidence,price_sentiment,price_confidence,service_sentiment,service_confidence,accessibility_sentiment,accessibility_confidence,scenery_sentiment,scenery_confidence,atmosphere_sentiment,atmosphere_confidence,food_sentiment,food_confidence,safety_sentiment,safety_confidence,crowd_sentiment,crowd_confidence,photo_spot_sentiment,photo_spot_confidence,historical_value_sentiment,historical_value_confidence,aspects_detected,aspect_sentiments,num_aspects
Pantai Baru,Annisa Mulia Nastiti,4,"Di kawasan ini ada cukup banyak pantai. Biaya retribusi dibayarkan di pos paling depan, sebesar 10ribu/orang. Setelah itu, di area parkir dikenakan 5ribu/mobil Pantai ini menjadi pilihan untuk kami kunjungi di lebaran hari kedua. Karakter pantainya berpasir gelap, ombak besar, dan angin yang sangat kencang (bagi saya). Di sana banyak sekali warung2 makan di sepanjang pantai. Jadi gak perlu khawatir akan kelaparan. Makan sesi pertama, kami pesan gorengan bakwan dan tempe. Saking enaknya menyantap",negative,0.466,negative,0.466,negative,0.466,,,negative,0.466,,,,,negative,0.466,negative,0.466,,,negative,0.466,,,"cleanliness, facilities, price, accessibility, food, safety, photo_spot",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; food:negative; safety:negative; photo_spot:negative,7
Bukit Bintang,Nadaa Ramadhani,5,"Sebelum pulang ke Kalimantan, menikmati pemandangan di bukit bintang. Bagi saya, terasa berat untuk meninggalkan Jogja, banyak kenangan dikota ini.",,,,,,,,,,,negative,0.572,,,,,,,,,,,,,scenery,scenery:negative,1
Situs Warungboto,Mskputri,5,Datang kesini di jam 4 sore. Pas ngga ada pengunjung lain. Cahaya matahari pas bagus. Buat foto-foto vintage cocok banget sih. Di depan bayar parkir 3000 dan isi kotak seikhlasnya ya..,,,negative,0.52,negative,0.52,,,negative,0.52,negative,0.52,,,,,,,negative,0.52,negative,0.52,,,"facilities, price, accessibility, scenery, crowd, photo_spot",facilities:negative; price:negative; accessibility:negative; scenery:negative; crowd:negative; photo_spot:negative,6
Museum Ullen Sentalu,Dimas Difel,5,"Pengalaman ke Museum Ullen Sentalu menurutku luar biasa dan sangat berkesan. Lokasinya berada di kawasan Kaliurang, dengan udara sejuk dan suasana yang tenang. Begitu masuk area museum, nuansa alam dan arsitektur bangunannya langsung bikin betah—banyak taman hijau, batu alam, dan desain yang terasa menyatu dengan lingkungan. Konsep museumnya unik, karena setiap kunjungan dilakukan dalam bentuk tur berkelompok (kloter) yang dipandu pemandu profesional. Mereka menjelaskan sejarah, budaya, dan kisa",positive,0.381,,,positive,0.381,positive,0.381,,,,,positive,0.381,,,positive,0.381,positive,0.381,positive,0.381,positive,0.381,"cleanliness, price, service, atmosphere, safety, crowd, photo_spot, historical_value",cleanliness:positive; price:positive; service:positive; atmosphere:positive; safety:positive; crowd:positive; photo_spot:positive; historical_value:positive,8
Pantai Sundak,Lmgn,4,"Tiket masuk 15.000 / orang Parkir di dalam 10.000 / motor Penginapan yang dekat pantai overated dengan kamar dan bangunan yang sangat kureng harganya diminta 250.000-nego jadi 150.000. Makanan harganya standar dan rasanya juga lumayan enak. Agak blusukan tempatnya tapi nice experience disini. Staff retribusi didepan ramah (bintang 5👍🏻👍🏻👍🏻) sampai di antar ke parkiran karena datangnya jam 12 malam. Overall tempatnya enak, bakal balik lagi kesini someday, masih ada ruang untuk perkembangan.",,,positive,0.776,positive,0.776,positive,0.776,positive,0.776,,,,,positive,0.776,,,,,,,,,"facilities, price, service, accessibility, food",facilities:positive; price:positive; service:positive; accessibility:positive; food:positive,5
Pantai Wediombo,Ake Widyastomo,5,"Salah satu pantai dengan pesona sekaligus pemandangan matahari tenggelam terbaik di Jogja. Jarak tempuh sekitar 2,5 jam dari kota Yogyakarta. Akses menuju lokasi lewat jjls sudah sangat baik dengan jalan yang lebar dan mulus. Area pantai memiliki hamparan pasir putih bercampur karang dari biota laut yang mati terbawa ke daratan. Bebatuan karang besar yang menjulang juga turut menghiasi lansekap pantai ini. Ombak relatif tenang. Untuk memasuki kawasan pantai dikenai retribusi 10k rupiah per dua o",,,negative,0.596,,,,,negative,0.596,negative,0.596,negative,0.596,negative,0.596,negative,0.596,,,,,,,"facilities, accessibility, scenery, atmosphere, food, safety",facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative,6
Museum Ullen Sentalu,Latipah Rahman,5,"Tempatnya oke banget, banyak informasi hidden gems dan memang ada tour guide nya juga. Secara tiket masuk agak lumayan.",,,,,positive,0.91,positive,0.91,,,,,,,,,,,,,,,,,"price, service",price:positive; service:positive,2
Candi Prambanan,A. Salman Alfarisi,5,"Candi Prambanan adalah salah satu mahakarya sejarah Indonesia yang memancarkan keindahan dan kebesaran peradaban masa lalu. Terletak di perbatasan Yogyakarta dan Jawa Tengah, kompleks candi ini berdiri megah dengan arsitektur yang menakjubkan — setiap relief dan ukirannya menceritakan kisah epik Ramayana yang penuh makna. Suasana di sekitar candi terasa tenang dan sakral, berpadu dengan udara sejuk dan pemandangan alam yang indah. Menjelang sore, sinar matahari keemasan yang menyinari puncak can",positive,0.621,positive,0.621,,,positive,0.621,positive,0.621,positive,0.621,positive,0.621,positive,0.621,positive,0.621,positive,0.621,positive,0.621,positive,0.621,"cleanliness, facilities, service, accessibility, scenery, atmosphere, food, safety, crowd, photo_spot, historical_value",cleanliness:positive; facilities:positive; service:positive; accessibility:positive; scenery:positive; atmosphere:positive; food:positive; safety:positive; crowd:positive; photo_spot:positive; historical_value:positive,11
Candi Prambanan,Indrawan Saputra,5,"salah satu candi terindah di Yogyakarta Kamu bisa menuju candi dengan menggunakan KRL Ygy - Palur dengan turun di stasiun Brambanan. Cukup jalan kaki skitar 800 meter untuk sampai di Candi Prambanan. Dengan HTM Rp. 50.000,- kamu bsa menikmati keindahan 4 Keindahan Candi :)",,,,,,,,,neutral,0.356,neutral,0.356,,,,,,,,,,,neutral,0.356,"accessibility, scenery, historical_value",accessibility:neutral; scenery:neutral; historical_value:neutral,3
Pantai Parangtritis,Keisya Keisyaraisita,5,"Pantai Parangtritis, pemandangan yang bagus cuaca yang panas dan cerah serta sejuk,ada juga pohon yang besar.harga tiket masuk 15 ribu perorang serta ada juga mobil Jeep dan ktv cocok untuk pergi jalan jalan.ombaknya juga sangat bagus dan pasir yang lembut.ketika bermain ombak jangan terlalu jauh jauh nanti bisa keseret ombak.apalgi cocok untuk orang lain pergi ke pantai Parangtritis.ada juga sunset di dore hari.btw pengen banget pergi kepantai soalnya bagus bgt, oh ya ketika liburan jangan lupa",,,,,negative,0.572,,,negative,0.572,negative,0.572,negative,0.572,,,negative,0.572,,,,,,,"price, accessibility, scenery, atmosphere, safety",price:negative; accessibility:negative; scenery:negative; atmosphere:negative; safety:negative,5
Pantai Slili,Nandang Pitoyo,4,"Pantai Slili merupakan salah satu pantai di Gunung Kidul Yogyakarta dengan pasir putih dan ombaknya lumayan besar. Pantainya lumayan bersih walau masih ada sampah plastik berserakan. Disini banyak tersedia gazebo yang disewakan, tapi karena kami datangnya kesiangan jadi gazebonya sudah penuh semua. Berhubung sepanjang pantai penuh pengunjung, kami cari tempat yang agak sepi yaitu di ujung timur pantai dekat bukit karang. Untuk retribusi masuk kawasan 10 ribu/orang dan parkir mobil 15 ribu.",negative,0.512,negative,0.512,,,,,negative,0.512,,,negative,0.512,,,negative,0.512,negative,0.512,,,,,"cleanliness, facilities, accessibility, atmosphere, safety, crowd",cleanliness:negative; facilities:negative; accessibility:negative; atmosphere:negative; safety:negative; crowd:negative,6
Pantai Ngobaran,Fahry Adam,5,"pantai yang bagus , pada saat saya berkunjung kondisi pantai lumayan sangat ramai pengunjung mungkin karena saat itu akhir pekan . tapi pantai ini sangat bagus cocok untuk berlibur dengan keluarga dan teman teman . menikmati pantai dibawah payung dan beralaskan tikar sambil mengisi energi kembali , bisa juga pesan makanan dan minuman nanti akan diantarkan ketempat kita bersantai . ketersediaan tempat ganti baju dan toilet juga banyak disekitaran pantai . semoga pantai selalu terjaga kebersihanny",negative,0.836,negative,0.836,,,,,,,negative,0.836,negative,0.836,negative,0.836,,,negative,0.836,,,,,"cleanliness, facilities, scenery, atmosphere, food, crowd",cleanliness:negative; facilities:negative; scenery:negative; atmosphere:negative; food:negative; crowd:negative,6
Tugu Jogja,Danish Kurniawidi,5,"Iconik Jogja, sebelum masuk Malioboro selalu lewat sini, dulu selalu di sempatkan foto disini sebelum di pagar, sekarang mau foto takut karena jalannya rame. Tambah rapi dan bersih",positive,0.38,,,,,,,positive,0.38,,,,,,,,,,,positive,0.38,,,"cleanliness, accessibility, photo_spot",cleanliness:positive; accessibility:positive; photo_spot:positive,3
Pantai Kesirat,Siti Rohimah,5,"Pantai Kesirat yang terletak di Desa Girikarto Kecamatan Panggang Kabupaten Gunungkidul Provinsi Daerah Istimewa Yogyakarta ini memiliki hamparan rumput di tebing yang tidak rata. Pantai Kesirat ini populer untuk dijadikan tempat memancing dan berkemah. Akan sangat indah kala dikunjungi saat senja karena panorama matahari terbenamnya yang memukau. Akses menuju Pantai Kesirat sudah bagus, namun medan jalan sempit dan melewati beberapa tanjakan dan turunan yang curam. Dari tempat parkir kita akan ",,,negative,0.426,,,,,negative,0.426,negative,0.426,,,negative,0.426,negative,0.426,,,,,,,"facilities, accessibility, scenery, food, safety",facilities:negative; accessibility:negative; scenery:negative; food:negative; safety:negative,5
Pantai Baron,Faqihurrahman Andi,5,"ke sini dua kali, 2010 dan 2013 tidak terlalu ramai bisa main bola pasirnya hitam",,,,,,,,,,,,,negative,0.709,,,,,negative,0.709,,,,,"atmosphere, crowd",atmosphere:negative; crowd:negative,2
Malioboro,Eko Waluyo,5,"Tempat hilling yang sangat menyenangkan, banyak makanan, jajanan dan oleh2 yang banyak macamnya, untuk yang paling spesial adalah gudeg jogja, bakpia patok, bakpia kukus dll, bisa keliling kota naik andong, becak dan trans jogja, yang paling nyeni adalah menikmati kopi sambil lihat orang lalu lalang di jalan malioboro.",,,,,,,,,negative,0.732,,,,,negative,0.732,,,,,,,,,"accessibility, food",accessibility:negative; food:negative,2
Museum Ullen Sentalu,Mukhamad Arif,5,"Saya datang di museum ini perkiraan pukul 14.00 menjelang sore. Mendung dan gelap. Rada2 mistis rasanya dikarenakan rimbunan tetanaman. Masuk terbatas 15 orang. Dilarang foto dan menyentuh properti. Bagus banget dalemnya. Terawat dan terjaga. Kain, lukisan properti kerajaan dan tulisan puisi. Sangat menarik sekali mendengar paparan dari petugas(pemandu) museum. Penjelasan sangat lengkap dan detail. Andai hanya lihat2 tanpa pemandu pasti membosankan. Ada cerita dari pemandu akhirnya hiduplah suas",negative,0.404,,,,,negative,0.404,,,negative,0.404,negative,0.404,negative,0.404,negative,0.404,,,negative,0.404,negative,0.404,"cleanliness, service, scenery, atmosphere, food, safety, photo_spot, historical_value",cleanliness:negative; service:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; photo_spot:negative; historical_value:negative,8
Pantai Depok,Kurnia ma'rifah,5,"Pantai dengan background kapal2 nelayan ada TPI, ikan seger2, gak terlalu panjang pantainya tapi bersih pantainya. ada ATV , jip . Selain warung2 nya yg menyediakan ikan segar, jika ada ikan2 atau seafood yg sdh di goreng dijual kiloan. Walau gk sebanyak di pantai lain Ada sarapan bubur krecek kalau pagi2 Ckp viral di tik tok, jd banyak yg berkunjung O ya masuk ke sini bayar 15 rb utk 3 pantai depok, baru, goa cemara",negative,0.621,,,negative,0.621,,,,,,,,,negative,0.621,,,,,negative,0.621,,,"cleanliness, price, food, photo_spot",cleanliness:negative; price:negative; food:negative; photo_spot:negative,4
Pantai Baru,Lisa Kelen,5,"Akses menuju pantai jelas n lancar, karcis masuk ke area pariwisata pantai selatan Rp 10ribu aja, kalau ke Pantai Baru nya terdapat petunjuk arah yg jelas, ada lokasi untuk kincir angin sebagai PLTS n angin, pengembangan untuk beberapa vegetasi seperti sayuran, buah, bawang, dll. Ada wahana bermain ATV, kolam renang anak, bebas untuk para pemancing dan berbagai pilihan tempat makan ikan hasil tangkapan nelayan setempat. Terdapat WC dan penyewaan tikar bagi yg ingin bersantai.",,,,,,,,,negative,0.528,,,,,negative,0.528,,,,,,,,,"accessibility, food",accessibility:negative; food:negative,2
Situs Warungboto,talitha zerlinda,5,Belum terlalu ramai. Tiket masuk saat itu seikhlasnya. Bisa sewa guide yg nantinya menjelaskan tiap sudut bagian.,,,,,negative,0.57,negative,0.57,,,,,negative,0.57,,,,,negative,0.57,,,,,"price, service, atmosphere, crowd",price:negative; service:negative; atmosphere:negative; crowd:negative,4
Pantai Baru,Mrs. Kovitski,4,"Pantainya cocok utk liburan bersama keluarga.. banyak warung makan yg menyajikan aneka seafood dg rasa enak dan harga yg wajar.. makan lesehan pake tiker dibawah pohon dg semilir angin sangat menyenangkan. Bisa sewa ATV 40rb/15 menit. Pantainya curam dan ombaknya besar, jd sebaiknya ga mandi di laut. Kebersihan pantai cukup terjaga, banyak tersedia tempat sampah dan ada petugas sampah yg rutin memungut sampah. Sudah cukup bagus dan perlu ditingkatkan lg kebersihannya.",negative,0.602,,,negative,0.602,negative,0.602,,,negative,0.602,,,negative,0.602,negative,0.602,,,,,,,"cleanliness, price, service, scenery, food, safety",cleanliness:negative; price:negative; service:negative; scenery:negative; food:negative; safety:negative,6
Situs Warungboto,PAIMO van JAVA,5,"Berawal dari adanya TUK atau mata air tersebut maka sebutan Pesanggrahan Rejawinangun banyak orang yang menyebutnya TUK UMBUL. Tuk Umbul yang berada di wilayah administrative Warungboto maka bangunan tersebut dinamakan juga sebagai Situs Warungboto. Dibangun oleh Sultan Hamengkubuwono II, selisih dua ratus tahun dengan era panembahan Senopati Konon makam sebenarnya dari kanjeng Ratu Mas Mustika Jawi (Waskito Jawi) - istri panembahan Senopati yang sebenarnya ada di sini. Yang di makam raja-raja M",,,,,,,,,,,,,,,negative,0.523,,,,,,,,,food,food:negative,1
Museum Ullen Sentalu,Jhonsi P Purba,5,"Kami datang ketempat ini secara rombongan dan ini termasuk salah satu agenda jalan-jalan kami di Jogjakarta. Ullen Sentalu adalah museum yang terletak di Kaliurang di kaki Gunung Merapi. Museum budaya yang menjelaskan kehidupan para bangsawan dinasti Mataram (baik di Jogyakarta maupun Surakarta) atau sejarah keraton. Pengunjung museum dilarang untuk meliput, merekam dan memphoto selama mengikuti tur ini. Pengunjung akan dipandu oleh seorang staf pramuwisata dari museum yang akan menjelaskan semu",positive,0.397,,,positive,0.397,,,positive,0.397,positive,0.397,,,,,positive,0.397,positive,0.397,,,positive,0.397,"cleanliness, price, accessibility, scenery, safety, crowd, historical_value",cleanliness:positive; price:positive; accessibility:positive; scenery:positive; safety:positive; crowd:positive; historical_value:positive,7
Prawirotaman,silvia sari humaidah,5,selalu jadi andalan kalo bingung mau makan dimana. apalagi suka kasih disc by tiktok asik banget deh makan enak tetep hemat,,,,,,,,,,,,,,,negative,0.542,,,,,,,,,food,food:negative,1
Pantai Sadeng,Wowrisang,5,"Tempat nya keren, view laut dari pelabuhan , dikelilingi bukit kapur, cocok untuk para angler casting, banyak ikan panjo , barakuda dan berbagai ikan karang",,,,,,,,,,,negative,0.479,,,,,,,,,,,,,scenery,scenery:negative,1
Situs Warungboto,Meira Sagita,5,"setiap sudutnya aesthetic dan tidak serame di taman sari, bayar parkir sama bayar masuk sukarela, hari minggu pun buka",,,positive,0.743,positive,0.743,,,positive,0.743,,,,,,,positive,0.743,,,,,,,"facilities, price, accessibility, safety",facilities:positive; price:positive; accessibility:positive; safety:positive,4
Agrowisata Bhumi Merapi,Jihan Fauziah,5,"berkunjung kesini hari senin kemarin, tempatnya enak, rindang, adem, awal masuk gak banyak orang jadi bisa foto2 sepuasnya tapi semakin siang semakin ramai orang karena udah mulai libur sekolah.. cocok untuk ajak keluarga dari anak2 sampai lansia, recommended 🫶",,,,,,,,,,,,,negative,0.47,negative,0.47,,,negative,0.47,negative,0.47,,,"atmosphere, food, crowd, photo_spot",atmosphere:negative; food:negative; crowd:negative; photo_spot:negative,4
Pantai Wediombo,mas brow,5,"Masya Allah, nikmat Tuhan mana lg yg engkau dustakan....nyore di blue lagoon meski gak dpt sunset tp puas dg view nya, terbyr semua lelah di perjlnan dan anak2 puas berenang di lagunanya",,,,,,,,,,,positive,0.586,,,,,,,,,,,,,scenery,scenery:positive,1
Pantai Sadeng,AkbarPratama_18,5,"View pantai bagus, bisa beli ikan langsung dari nelayan",,,,,,,,,,,neutral,0.521,,,,,,,,,,,,,scenery,scenery:neutral,1
Agrowisata Bhumi Merapi,Winda Handini,5,Tempat bagus buat foto² melepas penat karena sejuk sangat padahal siang,,,,,,,,,,,negative,0.45,negative,0.45,,,,,,,negative,0.45,,,"scenery, atmosphere, photo_spot",scenery:negative; atmosphere:negative; photo_spot:negative,3
Bukit Bintang,Abni Tsalis,5,"Bagus pemandangan nya ,cuaca mendukung walaupun malam hari dan tidak hujan.",,,,,,,,,,,negative,0.484,,,,,,,,,,,,,scenery,scenery:negative,1
Pantai Sadranan,tsabitank_,5,"Bagusss pantainya cakeeep bersihh pasirnya haluss tp ada sih daerah yg banyak kerikil tp banyaknya haluuus. Bagian depan banyak yg jualan seafood tempura murah. Ada banyak photografer jugaa kalo gasalah 5000/foto. Hasil fotonya bagus👍🏻 ada snorkeling juga kalo cuaca ok bisa, banyak saung2nya juga bisa duduk2 tp kayaknya bayar? Gatau sih soalnya pas itu beli kopi jd gadiminta bayar saung.. oya ini seingetku ini kawasan pantai jd ada biaya masuknya gitu di gerbang sm di tengah jd 2x bayar pokoknya",positive,0.49,,,positive,0.49,,,,,positive,0.49,,,positive,0.49,,,,,positive,0.49,,,"cleanliness, price, scenery, food, photo_spot",cleanliness:positive; price:positive; scenery:positive; food:positive; photo_spot:positive,5
Prawirotaman,margaretha devy,4,"Ramenya cuman pas malming, banyak cafe sbnernya. Cuman agak sepi selain malming,",,,,,,,,,,,,,negative,0.513,,,,,negative,0.513,,,,,"atmosphere, crowd",atmosphere:negative; crowd:negative,2
Agrowisata Bhumi Merapi,DeviKS,4,Datang dihari jum'at pagi..sepi. Tapi jadi puas foto2nya. Banyak spot foto yg menarik. O iya ada mini zoo jg. Tempatnya luas. Parkiran jg luas.,,,negative,0.376,,,,,negative,0.376,,,negative,0.376,,,,,negative,0.376,negative,0.376,,,"facilities, accessibility, atmosphere, crowd, photo_spot",facilities:negative; accessibility:negative; atmosphere:negative; crowd:negative; photo_spot:negative,5
Pantai Ngobaran,Arief Doel,4,View nya saja yg bagus... Kurang sip buat main air laut,,,,,,,,,,,neutral,0.594,,,,,,,,,,,,,scenery,scenery:neutral,1
Pantai Slili,erna wati,5,Pantai slili yg berada di gunung kidul Pantai yang indah bisa buat bermain air.tersedia banyak gasebo untuk menikmati pemandangan laut. Ada yang lebih seru bisa naik jeep keliling pantai.harga terjangkau sekali.bagus buat foto dengan jeep warna warni.,,,,,negative,0.469,,,,,negative,0.469,,,,,,,,,negative,0.469,,,"price, scenery, photo_spot",price:negative; scenery:negative; photo_spot:negative,3
Malioboro,Ayu Rachmadany,5,Senang banget di jalan malioboro ini. Ramai dan seru. Jam 6 sore jalan udah di tutup jd bebas dari kendaraan motor dan mobil. Dan syukurnya hotel tmpt aku nginap pas depan jalan malioboro,,,,,,,,,negative,0.488,,,negative,0.488,,,,,negative,0.488,,,,,"accessibility, atmosphere, crowd",accessibility:negative; atmosphere:negative; crowd:negative,3
Gumuk Pasir Parangkusumo,Lonewolf愛,5,"Gumuk Pasir adalah destinasi wisata berlokasi di Desa Parangkusumo, Kecamatan Kretek, Bantul, Yogyakarta, Indonesia. Lokasinya dekat dengan pantai Parangtritis dan dapat dijangkau dengan mudah dari pusat kota Yogyakarta, membuatnya menjadi destinasi wisata yang populer di daerah tersebut. Daya tariknya berupa pemandangan pasir yang luas dan indah. Tempat ini sering menjadi tujuan wisatawan yang mencari pengalaman unik di tengah padang pasir. Suasana gurun yang tenang namun menakjubkan memberikan",,,,,,,,,positive,0.532,positive,0.532,positive,0.532,positive,0.532,positive,0.532,positive,0.532,positive,0.532,,,"accessibility, scenery, atmosphere, food, safety, crowd, photo_spot",accessibility:positive; scenery:positive; atmosphere:positive; food:positive; safety:positive; crowd:positive; photo_spot:positive,7
Pantai Gesing,Syakira Nayla,5,"bagusss bangettttttt, setiap sudutnya bisa dibuat foto, pemandangannya cantik bgt bikin gamau pulang. worth it sama tiketnya mnrt ku smoga ga tmbah naik haha, akses masuk kesana bagus, kmr mndi gratis, bisa duduk dmna aja tnpa hrs sewa gazebooo pokoknya senyaman dansecantik ituuuu",,,positive,0.61,positive,0.61,,,positive,0.61,positive,0.61,positive,0.61,,,positive,0.61,,,positive,0.61,,,"facilities, price, accessibility, scenery, atmosphere, safety, photo_spot",facilities:positive; price:positive; accessibility:positive; scenery:positive; atmosphere:positive; safety:positive; photo_spot:positive,7
Pantai Sadeng,Anisa Fitri,5,"Pantai yang merupakan kawasan pelabuhan perikanan untuk bersandar kapal-kapal kecil. Dari ungkapan orang asli sana, pantai ini biasanya digunakan untuk memancing dan tempat refresing saja, karena bibir pantai sangat kecil dan ombak terlalu besar. Htm sendiri free, kebersihan lumayan terjaga.",neutral,0.646,,,,,,,,,,,,,,,neutral,0.646,,,,,,,"cleanliness, safety",cleanliness:neutral; safety:neutral,2
Pantai Parangtritis,Rini Nurinay,5,"Saya review bintang 5 krn waktu ke sini musim liburan sekolah tgl 3 Juli sampai sana jam setengah 9 pagi pantainya cukup sepi gak padat, beda bgt pas ke sini 6 thn lalu yg buat foto susah bgt krn backgrounnya orang semua. Walau panas tapi anginnya kencang dan ombak besar dg ciri khas pasir hitam. HTM 15 rb, sewa bangku payung 25 rb, kelapa muda 20 rb, Di sini bisa main layangan, atv, kuda, delman, jeep, renang di kolam harga 10 rb, harga makanan masih cukup murah, banyak penjual oleh2, baju, top",,,,,negative,0.467,,,,,negative,0.467,negative,0.467,negative,0.467,negative,0.467,negative,0.467,negative,0.467,,,"price, scenery, atmosphere, food, safety, crowd, photo_spot",price:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; photo_spot:negative,7
