destination,username,stars,original_text,cleanliness_sentiment,cleanliness_confidence,accessibility_sentiment,accessibility_confidence,scenery_sentiment,scenery_confidence,atmosphere_sentiment,atmosphere_confidence,food_sentiment,food_confidence,crowd_sentiment,crowd_confidence,photo_spot_sentiment,photo_spot_confidence,historical_value_sentiment,historical_value_confidence,facilities_sentiment,facilities_confidence,price_sentiment,price_confidence,service_sentiment,service_confidence,safety_sentiment,safety_confidence,aspects_detected,aspect_sentiments,num_aspects
Candi Prambanan,Miftakhul Uluq,5,"Ini adalah kesekian kali mengunjungi situs budaya warisan leluhur. Saya hanya saran , sebaiknya masuk ke area Candi di tiadakan. Karena justru akan merusak situs peninggalan warisan budaya. Mungkin dengan izin tertentu seperti untuk penelitian, pendidikan atau kebijaksanaan dari pengelola.. Banyak pengunjung kdg tidak sadar budaya dan hanya sekedar foto estetik.. Daripada kita tidak bisa mewariskan ke generasi penerus selanjutnya. Mungkin hal ini bisa jadi pertimbangan",,,,,,,,,,,positive,0.693,positive,0.525,neutral,0.699,,,,,,,,,"crowd, photo_spot, historical_value",crowd:positive; photo_spot:positive; historical_value:neutral,3
Candi Prambanan,Melody AMPv,5,"Candi Prambanan adalah salah satu situs bersejarah paling terkenal di Indonesia dan menjadi magnet bagi wisatawan mancanegara. Selain dikenal dengan legenda pembangunan seribu candi, kawasan Prambanan juga sangat luas—dan kalau datang siang hari, siap-siap menghadapi panas khas Yogyakarta. Ada banyak kompleks candi yang bisa dikunjungi seperti Candi Sewu, Candi Bubrah, dan Candi Lumbung, masing-masing dengan sejarahnya sendiri. Waktu itu aku memilih keliling naik mobil terbuka dengan biaya sekit",,,negative,0.989,negative,0.993,,,,,negative,0.957,,,negative,0.991,negative,0.976,negative,0.82,,,,,"facilities, price, accessibility, scenery, crowd, historical_value",facilities:negative; price:negative; accessibility:negative; scenery:negative; crowd:negative; historical_value:negative,6
Candi Prambanan,Saptono,5,"Malam tahun baru an di Prambanan. Anter putri sewayang sbg panitia konser. Sekalian liburan di Jogja dan sekitarnya. Semua lokasi aman, nyaman, meski agak serem gimana gitu krn tmpt parkirnya sedikit gelap.",,,negative,0.962,,,negative,0.959,,,,,,,,,,,,,,,negative,0.962,"accessibility, atmosphere, safety",accessibility:negative; atmosphere:negative; safety:negative,3
Candi Prambanan,Keyy_n,5,"Foto di Candi Prambanan sangat memuaskan. Pemandangannya megah dengan latar candi yang simetris dan area yang luas. Pagi hari atau menjelang sunset adalah waktu terbaik—cahayanya lembut dan hasil foto terlihat estetik. Spot foto banyak dan tertata rapi, ada informasi sejarah juga. Tempatnya bersih, teratur, dan sangat layak dikunjungi untuk wisata sekaligus foto.",negative,0.995,,,negative,0.993,,,,,,,negative,0.996,negative,0.997,,,,,,,,,"cleanliness, scenery, photo_spot, historical_value",cleanliness:negative; scenery:negative; photo_spot:negative; historical_value:negative,4
Candi Prambanan,Ima mowie,5,"Ke Candi Prambanan niat cuma mau jalan pagi Area candinya luas, rapi, dan nyaman banget buat jalan kaki atau jogging ringan. Suasananya asri, pagi hari udaranya sejuk dan pemandangannya cantik banget. Sambil olahraga bisa sekalian menikmati keindahan candi dan suasana. Tempatnya bersih, terawat, dan bikin betah. Cocok buat yang mau sehat sekaligus refreshing.",negative,0.998,negative,0.993,negative,0.998,negative,0.998,,,,,,,negative,0.998,,,,,,,,,"cleanliness, accessibility, scenery, atmosphere, historical_value",cleanliness:negative; accessibility:negative; scenery:negative; atmosphere:negative; historical_value:negative,5
Candi Prambanan,Diky Alhaadiy,5,"Candi nya megah,rame wisatawan , ada beberapa candi yang bisa naik ke atas, paling bagus sih pas weekday biar ga terlalu ramai , di pintu exit banyal penjual makanan yang masih tergolong murah , dan banyak yang menjual souvenir untuk dibawa pulang",,,,,negative,0.995,negative,0.995,negative,0.995,negative,0.991,,,negative,0.994,,,negative,0.995,,,,,"price, scenery, atmosphere, food, crowd, historical_value",price:negative; scenery:negative; atmosphere:negative; food:negative; crowd:negative; historical_value:negative,6
Candi Prambanan,Agam Mahardi,5,"Mengenalkan sejarah peradaban Hindu kuno untuk anak-anak. Jika cuaca sedang terik, direkomendasikan bawa payung. Bisa sewa payung juga di sana harga 10.000. Tiket weekdays, dewasa 50rb, anak s/d usia 12 tahun 35rb. Oleh-olehnya sih dikenal pengunjung, di sini yg paling murah. Jalur keluarnya panjang banget. Bisa nempuh jarak jalan 1-2 km kali yaa.",,,neutral,0.616,,,,,,,neutral,0.826,,,negative,0.629,,,negative,0.947,,,,,"price, accessibility, crowd, historical_value",price:negative; accessibility:neutral; crowd:neutral; historical_value:negative,4
Candi Prambanan,Rosalina Oktaviani,5,"Akhirnya bisa ke Candi Prambanan setelah sekian tahun kepending. Seruuu karena ternyata malamnya mau ada konser. Lumayan lah bisa free checksound dengerin Yura dan Changcuters 🤣 Panas banget di dalam, jadi highly recommended untuk sewa payung 10rb, atau bawa payung/topi sendiri. Tiket masuk 55k untuk weekend orang dewasa. Ke sini pas cuaca lagi cerah jadi bagus banget. Kesempatan bisa masuk Candi Siwa setelah sebelumnya ada yang ibadah di depannya. So lovely!",,,,,negative,0.99,,,,,,,,,negative,0.987,,,negative,0.99,,,,,"price, scenery, historical_value",price:negative; scenery:negative; historical_value:negative,3
Candi Prambanan,Asyraf Rasyid,5,"Lokasi ini sangat rekomendasi sekali dan sangat cocok untuk di kunjungi disaat berlibur bersama keluarga, sahabat, dan pasangan. Candi Prambanan ini juga salah satu tempat bersejarah, jadi cocok untuk pembelajaran untuk para pendidik saat study tour.",,,negative,0.995,,,,,,,,,,,negative,0.994,,,,,,,,,"accessibility, historical_value",accessibility:negative; historical_value:negative,2
Candi Prambanan,Ahmad Syafii,5,"Ini kunjungan saya yang kedua pertama tahun 2010 dan sekarang kembali lagi di 2025. Candi Prambanan terasa semakin indah, tertata, dan kawasannya terasa jauh lebih luas serta nyaman untuk dijelajahi. Jalan kaki keliling kompleks juga lumayan buat bakar kalori. Saat ini sudah tersedia fasilitas seperti sewa caddy car, sepeda, dan shuttle yang memudahkan pengunjung untuk menjelajah area yang lebih jauh. Namun menurut saya akan lebih bagus jika paket wisata bisa lebih mengarahkan atau menginformasi",,,negative,0.989,negative,0.993,negative,0.992,,,negative,0.989,,,negative,0.907,negative,0.995,,,,,,,"facilities, accessibility, scenery, atmosphere, crowd, historical_value",facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; crowd:negative; historical_value:negative,6
Candi Prambanan,Sahila Nuril Akbar,5,"Candi Prambanan: Bukan cuma tumpukan batu, tapi sebuah kisah megah! Arsitektur Hindu tertinggi di Asia Tenggara ini memukau dengan relief Ramayana yang hidup, lambang toleransi agama, dan legenda Roro Jonggrang yang melegenda, menjadikannya warisan dunia UNESCO yang wajib dikunjungi untuk merasakan keagungan sejarah, spiritualitas, dan keindahan arsitektur Jawa kuno yang abadi",,,,,,,,,,,,,,,negative,0.97,,,,,,,,,historical_value,historical_value:negative,1
Candi Prambanan,Yums,5,"Lebih baik ke sana pagi under jam 9, atau sore. Karena disana lapangan terbuka, jika siang akan terasa sangat panas disarankan membawa kipas portable dan menggunakan topi atau penutup kepala lainnya, tapi dipintu masuk banyak juga yg menawarkan rental payung dengan harga 10k sudah layak dengan harga segitu memayungi kita selama dikomplek candi.",,,,,,,,,,,,,,,negative,0.761,,,negative,0.823,,,,,"price, historical_value",price:negative; historical_value:negative,2
Candi Prambanan,ade candra,5,"Candi Borobudur adalah salah satu destinasi wisata ikonik di Indonesia yang menawarkan pengalaman bersejarah dan pemandangan luar biasa. Keindahan relief yang penuh detail menceritakan kisah kehidupan Buddha dan perjalanan spiritual membuat pengunjung merasa takjub dengan kecerdasan para leluhur. Suasana pagi hari saat matahari terbit sangat mempesona, dengan kabut tipis yang menyelimuti bukit sekitarnya. Tempat ini cocok untuk belajar sejarah, menikmati seni arsitektur megah, sekaligus bersanta",,,,,negative,0.995,negative,0.994,,,negative,0.994,,,negative,0.996,,,,,,,,,"scenery, atmosphere, crowd, historical_value",scenery:negative; atmosphere:negative; crowd:negative; historical_value:negative,4
Candi Prambanan,Putri Mei Maharani,5,"Tempat dengan candi yang cantik, penuh dengan sejarah yang magis, pelayanan staff maupun petugasnya ramah dan sangat membantu sekali untuk solo traveler. Tiketnya bisa dibeli online melalui berbagai platform dan on the spot. Untuk yang ingin menonton pertunjukkan teater, kalo di online sudah habis lebih baik beli on the spot saja karena marak penipuan terutama akun jastip. Saran untuk pengunjung jika disiang hari lebih baik kalian bawa topi/payung dan bawa sunscreen supaya ga kepanasan.",,,,,negative,0.997,,,,,negative,0.769,negative,0.957,negative,0.996,,,,,negative,0.996,,,"service, scenery, crowd, photo_spot, historical_value",service:negative; scenery:negative; crowd:negative; photo_spot:negative; historical_value:negative,5
Candi Prambanan,Karmila Wid,4,"Tempat parkir luas. Saat musim hujan banyak yang menyewakan payung, harganya murah, cuma 10ribu tanpa batasan waktu. Datang kesini saat acara festival tahun baru naik motor dan parkir di dalam area parkir resmi candi (ada tiketnya). Datang jam 3 sore, pulang jam 23.30 an, ternyata helm saya hilang waktu mau pulang padahal motor tidak dipindah-pindah tempatnya 🥲. Tanya ke penjaga parkir tapi bapaknya tidak tahu menahu walau pada akhirnya dibantu cari helm di motor orang lain. Masukan kedepan mung",,,negative,0.957,,,,,,,,,,,positive,0.826,negative,0.974,negative,0.975,positive,0.715,,,"facilities, price, service, accessibility, historical_value",facilities:negative; price:negative; service:positive; accessibility:negative; historical_value:positive,5
Candi Prambanan,Bunda Shauqi,5,"Prambanan sekarang udah rapi dan bagus. Tiket masuknya dewasa 50rb, anak2 diatas 3 tahun 25rb. Bisa foto2 sampe ke dalam candi. Kalo kesini siang2 jangan lupa bawa payung atau kalo malas bawa di dalem ada penyewaan payung 10rb aja bisa sampe pintu keluar. Resto yg view candi ada dua, yg didalem prambanan resto, yg diluar rama shinta resto (bagusan yg ini view nya)..",negative,0.532,,,negative,0.968,,,negative,0.726,,,,,negative,0.545,,,negative,0.68,,,,,"cleanliness, price, scenery, food, historical_value",cleanliness:negative; price:negative; scenery:negative; food:negative; historical_value:negative,5
Candi Prambanan,Wanto TSD,4,"Candi Peninggalan kerajaan Mataram, mengingat kan tingginya peradaban nenek moyang ku. Tiket masuk weekday dewasa Rp. 50k, anak Rp. 25K, sedangkan weekend Rp. 65K, anak Rp. 35K, tersedia juga tiket terusan istana Ratu Boko dg tiket dewasa Rp 80K anak Rp. 40K, di weekend dewasa Rp. 100K dan anak Rp. 50K Semakin tertata bersih rapi, sayang nya kemarin mau ke toilet dan wudhu tidak ada air. Bisa tolong pengelola utk pemeriksaan fasilitas nya, jika perlu di diberikan no telp CS agar setiap masalah d",neutral,0.8,,,,,,,,,neutral,0.994,,,neutral,0.701,neutral,0.602,negative,0.587,,,,,"cleanliness, facilities, price, crowd, historical_value",cleanliness:neutral; facilities:neutral; price:negative; crowd:neutral; historical_value:neutral,5
Candi Prambanan,Septiani,5,"Wonderful experience 🩷. Tempat bersejarah yang penuh dengan nilai historis dan berdiri dengan arsitektur yang sangat indah. Such an amazing place. Utamanya candi Siwa yang berdiri menjulang tinggi. Di kompleks candi ada museum yang bisa dikunjungi secara gratis, tanpa tambahan biaya, dan dilengkapi pertunjukan audio visual. Keren banget🩷. Harga tiket masuknya masih affordable, untuk wisatawan lokal dikenai harga 50rb. Wisatawan mancanegara tentu bisa berbeda. Bagi muslim yang mau sholat, di sini",,,,,negative,0.99,,,negative,0.997,negative,0.995,,,negative,0.994,negative,0.994,negative,0.978,,,,,"facilities, price, scenery, food, crowd, historical_value",facilities:negative; price:negative; scenery:negative; food:negative; crowd:negative; historical_value:negative,6
Candi Prambanan,Rakhmidianarrafi Nuhwan,5,"Kesini di awal Agustus, ada beberapa candi di lapangan utama yang lagi dalam tahap perbaikan. But overall everything is good. Cuma memang ruame poll aja kalau weekend. Nggak tau deh kalau weekday. Untuk htm masuk masih 50.000, hanya untuk masuk candi Prambanan ya. Untuk tiket terusan ke candi boko harganya beda lagi. Bisa di cek di website atau platfom media sosialnya.",,,,,,,,,,,,,,,neutral,0.573,,,negative,0.608,,,,,"price, historical_value",price:negative; historical_value:neutral,2
Candi Prambanan,Ginanjar Nur P,5,Candi Prambanan Salah satu tempat iconic nya jogja Lokasi diperbatasan jogja jawa tengah Salah satu candi yang megah dan besar di jogja dn Indonesia Tiket nya cukup lah merogoh gocek Tapi fasilitas nya ya lumayan lengkap disini Rekomended lah buat rekreasi keluarga,,,negative,0.91,,,,,,,,,,,negative,0.98,negative,0.996,negative,0.997,,,,,"facilities, price, accessibility, historical_value",facilities:negative; price:negative; accessibility:negative; historical_value:negative,4
Candi Prambanan,A. Salman Alfarisi,5,"Candi Prambanan adalah salah satu mahakarya sejarah Indonesia yang memancarkan keindahan dan kebesaran peradaban masa lalu. Terletak di perbatasan Yogyakarta dan Jawa Tengah, kompleks candi ini berdiri megah dengan arsitektur yang menakjubkan — setiap relief dan ukirannya menceritakan kisah epik Ramayana yang penuh makna. Suasana di sekitar candi terasa tenang dan sakral, berpadu dengan udara sejuk dan pemandangan alam yang indah. Menjelang sore, sinar matahari keemasan yang menyinari puncak can",negative,0.996,,,negative,0.992,negative,0.994,,,negative,0.996,,,negative,0.99,negative,0.996,,,negative,0.989,,,"cleanliness, facilities, service, scenery, atmosphere, crowd, historical_value",cleanliness:negative; facilities:negative; service:negative; scenery:negative; atmosphere:negative; crowd:negative; historical_value:negative,7
Candi Prambanan,Rahmad,5,"Objek wisata super nya jogjakarta 😁 Terletak sekitar 18km dari pusat kota Tiket masuk 50k per orang Di parkiran sudah ada jasa sewa payung 10k/buah, dan ini emang perlu banget karna disini panas banget, wajib juga pake sunscreen dan sunblock ya guys, kalo ga ntar jadi gosong kyk saya Masuk kedalam lumayan banyak taman² teduh dan sangat bersih dan terawat, lanjut terus sampai ke komplek candi nya (lagi renovasi). Kita bisa naik keatas dan masuk kedalam ngeliat patung² nya. Di bbrp spot juga ada l",neutral,0.507,negative,0.866,,,neutral,0.564,,,,,negative,0.876,neutral,0.541,,,negative,0.984,,,,,"cleanliness, price, accessibility, atmosphere, photo_spot, historical_value",cleanliness:neutral; price:negative; accessibility:negative; atmosphere:neutral; photo_spot:negative; historical_value:neutral,6
Candi Prambanan,Rofingatun Nikmah,5,"Candi Prambanan benar-benar megah dan menakjubkan! Kompleks candinya luas, bersih, dan terawat dengan sangat baik. Setiap sudutnya punya nilai sejarah dan arsitektur yang luar biasa indah. Disarankan datang pagi hari supaya tidak terlalu panas saat berkeliling, atau sore hari sekalian biar bisa menikmati suasana matahari terbenam yang cantik di balik candi. Banyak spot foto menarik, juga ada taman dan area jalan kaki yang nyaman. Wajib dikunjungi kalau ke Yogyakarta atau sekitarnya!",negative,0.998,negative,0.995,negative,0.997,negative,0.997,,,,,negative,0.995,negative,0.998,,,,,,,,,"cleanliness, accessibility, scenery, atmosphere, photo_spot, historical_value",cleanliness:negative; accessibility:negative; scenery:negative; atmosphere:negative; photo_spot:negative; historical_value:negative,6
Candi Prambanan,Naqiibatin Nadliriyah,5,"Kesini dua kali setahun ini🤣. Nonton konser pas malam hari yakni, Prambanan Jazz bulan Juli kemarin sama nemenin temen aja kok papasan sama kirab budaya. Harga tiket dewasa 50rb, anak2 25ribu, bisa beli ots atau tiket online di tiket.com atau traveloka. Karena area sangat luas, jadi usahakan jalan kaki santai aja, karena pas anak temen ngerengek capek jalan, kita yang bingung. Akhirnya berhenti dulu beli minuman🤣. Sebenarnya ada penyewaan sepeda sama skuter sih. Tapi ya vibesnya enak jalan kaki ",,,neutral,0.536,,,neutral,0.857,negative,0.996,,,,,neutral,0.949,,,neutral,0.942,,,,,"price, accessibility, atmosphere, food, historical_value",price:neutral; accessibility:neutral; atmosphere:neutral; food:negative; historical_value:neutral,5
Candi Prambanan,Umma ArRayyan,5,"First time ke candi prambanan, saya dtg ke sini jm 6 pagi. Loket blm buka, buka jm 06.30. Mau beli tiket online trnyta ga bs pake DANA. Bawa roti di tas,tas di cek&roti diambil trs dititipin. Bs diambil di pintu kluar. Pdhl saya blm sarapan,tp dtawarin mau dimakan dlu/tdk roti nya. Area candi luas. Pas cerah,jd jm 8 sdh mulai terasa panas. Wajib bwa topi/sewa payung,terutama buat yg gmpang migrain ky saya. Buat yg mau jajan di pasar apa saya lupa namanya,yg msh di area dlm candi,jgn lupa siapin ",,,,,,,,,negative,0.823,,,,,negative,0.744,,,neutral,0.787,negative,0.545,,,"price, service, food, historical_value",price:neutral; service:negative; food:negative; historical_value:negative,4
Candi Prambanan,Adinda Saraswati,5,"Cantikkkk sekali candinya ❤ Pergi ke candi Prambanan ini naik motor, lumayan jauh, tapi jalannya ga sepi karna jalanan besar antar provinsi, masih aman ga banyak kendaraan besar. Pas datang lagi ada perbaikan di candi utama, Suaranya panas sekali jangan lupa bawa payung, dan air mineral yaa. (Juli 2025 bersama Yulianti)",,,negative,0.883,,,negative,0.984,,,negative,0.984,,,negative,0.869,,,,,,,negative,0.871,"accessibility, atmosphere, safety, crowd, historical_value",accessibility:negative; atmosphere:negative; safety:negative; crowd:negative; historical_value:negative,5
Candi Prambanan,Anis Murni,5,"Dateng ke sini pas lagi perbaikan di beberapa candi utama. Udaranya panas banget. Tempatnya cantik dan bersih. Luas banget yaa ternyata dengan tiket 50k ngga cuma keliling candi Prambanan tapi seluruh area di lingkungan itu. Aku lupa candi2 apa aja. Jangan lupa pakai sunscreen, bawa payung / topi dan bawa air mineral yaa + ga boleh bawa makanan ke dalam area candi",negative,0.988,,,negative,0.97,,,neutral,0.951,,,,,negative,0.917,,,negative,0.981,,,,,"cleanliness, price, scenery, food, historical_value",cleanliness:negative; price:negative; scenery:negative; food:neutral; historical_value:negative,5
Candi Prambanan,Eka Firdhausia Putri,5,"Candi Prambanan emang gak pernah gagal bikin kagum! 😍 Dari jauh aja udah kelihatan megah banget, apalagi pas udah deket — detail ukirannya keren parah. Suasananya juga tenang, cocok buat jalan santai sambil foto-foto. Datang sore-sore lebih enak, gak terlalu panas dan bisa sekalian nikmatin sunset di belakang candi Fasilitasnya juga lumayan lengkap, ada area parkir luas, toilet, sama tempat makan. Pokoknya wajib banget mampir kalau ke Jogja🤩",,,negative,0.996,negative,0.998,negative,0.997,negative,0.998,,,negative,0.998,negative,0.997,negative,0.998,,,,,,,"facilities, accessibility, scenery, atmosphere, food, photo_spot, historical_value",facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; photo_spot:negative; historical_value:negative,7
Candi Prambanan,Beny Sullivan,5,Situs wisata yang sangat bersejarah. Wajib kesini supaya tau sejarah asal muasal candi prambanan. Kalau ada rezeki lebih boleh banget sewa pemandu atau guide yg bisa menjelaskan secara detail ttg sejarah candi.,,,,,,,,,,,,,,,negative,0.74,,,,,negative,0.824,,,"service, historical_value",service:negative; historical_value:negative,2
Candi Prambanan,Putri Maulidia,5,"Reccomended sekali untuk para wisatawan yang mau berlibur ke Jogja wajib banget ke sini, tapi kalau bisa pagi saja dikarenakan jam 9 keatas cuacanya sangat panass sekali, mungkin bisa bawa topi atau payung sendiri, atau bisa sewa payung 10k disana, untuk tiket bisa dibeli melalui offline atau online lewat Traveloka dapet potongan 5k jadi 45k saja, untuk tiket parkir 5k, tempatnya bersih sekali, banyak sekali spot untuk foto, ada museumnya juga hanya saja sangat sepi sekali padahal bagus untuk me",negative,0.963,,,negative,0.99,negative,0.98,negative,0.99,negative,0.991,negative,0.959,negative,0.992,negative,0.935,negative,0.994,,,,,"cleanliness, facilities, price, scenery, atmosphere, food, crowd, photo_spot, historical_value",cleanliness:negative; facilities:negative; price:negative; scenery:negative; atmosphere:negative; food:negative; crowd:negative; photo_spot:negative; historical_value:negative,9
Candi Prambanan,Ratna Sari Psikolog,4,"Candi Prambanan cukup nyaman untuk di kunjungi sambil menikmati kemegahan struktur candi dari masa lampau, suasana sekitar cukup bagus utk spot foto.",,,,,negative,0.994,negative,0.995,,,,,negative,0.995,negative,0.995,,,,,,,,,"scenery, atmosphere, photo_spot, historical_value",scenery:negative; atmosphere:negative; photo_spot:negative; historical_value:negative,4
Candi Prambanan,Abdul Hakim,4,"HTM : 50K Agak overprice sih tapi kalo sore pas sunset bagus bgt, bersih juga tidak ada sampah yang dibuang sembarang",positive,0.983,,,positive,0.983,,,,,,,,,,,,,positive,0.994,,,,,"cleanliness, price, scenery",cleanliness:positive; price:positive; scenery:positive,3
