destination,username,stars,original_text,analysis_status,scenery_sentiment,scenery_evidence,cleanliness_sentiment,cleanliness_evidence,facilities_sentiment,facilities_evidence,price_sentiment,price_evidence,atmosphere_sentiment,atmosphere_evidence,historical_value_sentiment,historical_value_evidence,food_sentiment,food_evidence,photo_spot_sentiment,photo_spot_evidence,crowd_sentiment,crowd_evidence,service_sentiment,service_evidence,accessibility_sentiment,accessibility_evidence,safety_sentiment,safety_evidence,aspects_detected,aspect_sentiments,num_aspects,overall_sentiment
Candi Prambanan,Miftakhul Uluq,5,"Ini adalah kesekian kali mengunjungi situs budaya warisan leluhur. Saya hanya saran , sebaiknya masuk ke area Candi di tiadakan. Karena justru akan merusak situs peninggalan warisan budaya. Mungkin dengan izin tertentu seperti untuk penelitian, pendidikan atau kebijaksanaan dari pengelola.. Banyak pengunjung kdg tidak sadar budaya dan hanya sekedar foto estetik.. Daripada kita tidak bisa mewariskan ke generasi penerus selanjutnya. Mungkin hal ini bisa jadi pertimbangan",success,positive,indah,positive,tersedia fasilitas,positive,tersedia fasilitas,positive,tidak disebutkan,,,positive,kesekian kali mengunjungi situs budaya warisan leluhur,,,,,,,,,,,,,"historical_value, scenery, cleanliness, facilities, price",historical_value:positive; scenery:positive; cleanliness:positive; facilities:positive; price:positive,5,positive
Candi Prambanan,Melody AMPv,5,"Candi Prambanan adalah salah satu situs bersejarah paling terkenal di Indonesia dan menjadi magnet bagi wisatawan mancanegara. Selain dikenal dengan legenda pembangunan seribu candi, kawasan Prambanan juga sangat luas—dan kalau datang siang hari, siap-siap menghadapi panas khas Yogyakarta. Ada banyak kompleks candi yang bisa dikunjungi seperti Candi Sewu, Candi Bubrah, dan Candi Lumbung, masing-masing dengan sejarahnya sendiri. Waktu itu aku memilih keliling naik mobil terbuka dengan biaya sekit",success,positive,salah satu situs bersejarah paling terkenal di Indonesia,,,positive,banyak kompleks candi yang bisa dikunjungi,positive,biaya sekitar dua ratus ribuan,,,,,,,,,,,,,,,,,"scenery, facilities, price",scenery:positive; facilities:positive; price:positive,3,positive
Candi Prambanan,Saptono,5,"Malam tahun baru an di Prambanan. Anter putri sewayang sbg panitia konser. Sekalian liburan di Jogja dan sekitarnya. Semua lokasi aman, nyaman, meski agak serem gimana gitu krn tmpt parkirnya sedikit gelap.",success,,,,,,,positive,tidak disebutkan,positive,malam tahun baru an di Prambanan,,,,,,,,,,,,,positive,lokasi aman,"atmosphere, safety, price",atmosphere:positive; safety:positive; price:positive,3,positive
Candi Prambanan,Keyy_n,5,"Foto di Candi Prambanan sangat memuaskan. Pemandangannya megah dengan latar candi yang simetris dan area yang luas. Pagi hari atau menjelang sunset adalah waktu terbaik—cahayanya lembut dan hasil foto terlihat estetik. Spot foto banyak dan tertata rapi, ada informasi sejarah juga. Tempatnya bersih, teratur, dan sangat layak dikunjungi untuk wisata sekaligus foto.",success,positive,pemandangannya megah,positive,tempatnya bersih,positive,spot foto banyak,positive,tidak disebutkan,,,,,,,,,,,,,,,,,"scenery, cleanliness, facilities, price",scenery:positive; cleanliness:positive; facilities:positive; price:positive,4,positive
Candi Prambanan,Ima mowie,5,"Ke Candi Prambanan niat cuma mau jalan pagi Area candinya luas, rapi, dan nyaman banget buat jalan kaki atau jogging ringan. Suasananya asri, pagi hari udaranya sejuk dan pemandangannya cantik banget. Sambil olahraga bisa sekalian menikmati keindahan candi dan suasana. Tempatnya bersih, terawat, dan bikin betah. Cocok buat yang mau sehat sekaligus refreshing.",success,positive,pemandangannya cantik banget,positive,tempatnya bersih,positive,area candinya luas,positive,tidak disebutkan,,,,,,,,,,,,,,,,,"scenery, cleanliness, facilities, price",scenery:positive; cleanliness:positive; facilities:positive; price:positive,4,positive
Candi Prambanan,Diky Alhaadiy,5,"Candi nya megah,rame wisatawan , ada beberapa candi yang bisa naik ke atas, paling bagus sih pas weekday biar ga terlalu ramai , di pintu exit banyal penjual makanan yang masih tergolong murah , dan banyak yang menjual souvenir untuk dibawa pulang",success,positive,candi nya megah,,,,,positive,tidak disebutkan,,,,,,,,,positive,rame wisatawan,,,,,,,"scenery, crowd, price",scenery:positive; crowd:positive; price:positive,3,positive
Candi Prambanan,Agam Mahardi,5,"Mengenalkan sejarah peradaban Hindu kuno untuk anak-anak. Jika cuaca sedang terik, direkomendasikan bawa payung. Bisa sewa payung juga di sana harga 10.000. Tiket weekdays, dewasa 50rb, anak s/d usia 12 tahun 35rb. Oleh-olehnya sih dikenal pengunjung, di sini yg paling murah. Jalur keluarnya panjang banget. Bisa nempuh jarak jalan 1-2 km kali yaa.",success,,,,,,,positive,tidak disebutkan,,,positive,mengenalkan sejarah peradaban Hindu kuno,,,,,,,,,,,,,"historical_value, price",historical_value:positive; price:positive,2,positive
Candi Prambanan,Rosalina Oktaviani,5,"Akhirnya bisa ke Candi Prambanan setelah sekian tahun kepending. Seruuu karena ternyata malamnya mau ada konser. Lumayan lah bisa free checksound dengerin Yura dan Changcuters 🤣 Panas banget di dalam, jadi highly recommended untuk sewa payung 10rb, atau bawa payung/topi sendiri. Tiket masuk 55k untuk weekend orang dewasa. Ke sini pas cuaca lagi cerah jadi bagus banget. Kesempatan bisa masuk Candi Siwa setelah sebelumnya ada yang ibadah di depannya. So lovely!",success,positive,seruuu karena ternyata malamnya mau ada konser,,,,,positive,tidak disebutkan,,,,,,,,,,,,,,,,,"scenery, price",scenery:positive; price:positive,2,positive
Candi Prambanan,Asyraf Rasyid,5,"Lokasi ini sangat rekomendasi sekali dan sangat cocok untuk di kunjungi disaat berlibur bersama keluarga, sahabat, dan pasangan. Candi Prambanan ini juga salah satu tempat bersejarah, jadi cocok untuk pembelajaran untuk para pendidik saat study tour.",success,,,,,,,positive,tidak disebutkan,,,positive,salah satu tempat bersejarah,,,,,,,,,,,,,"historical_value, price",historical_value:positive; price:positive,2,positive
Candi Prambanan,Ahmad Syafii,5,"Ini kunjungan saya yang kedua pertama tahun 2010 dan sekarang kembali lagi di 2025. Candi Prambanan terasa semakin indah, tertata, dan kawasannya terasa jauh lebih luas serta nyaman untuk dijelajahi. Jalan kaki keliling kompleks juga lumayan buat bakar kalori. Saat ini sudah tersedia fasilitas seperti sewa caddy car, sepeda, dan shuttle yang memudahkan pengunjung untuk menjelajah area yang lebih jauh. Namun menurut saya akan lebih bagus jika paket wisata bisa lebih mengarahkan atau menginformasi",success,positive,candi Prambanan terasa semakin indah,,,positive,tersedia fasilitas,positive,tidak disebutkan,,,,,,,,,,,,,,,,,"scenery, facilities, price",scenery:positive; facilities:positive; price:positive,3,positive
Candi Prambanan,Sahila Nuril Akbar,5,"Candi Prambanan: Bukan cuma tumpukan batu, tapi sebuah kisah megah! Arsitektur Hindu tertinggi di Asia Tenggara ini memukau dengan relief Ramayana yang hidup, lambang toleransi agama, dan legenda Roro Jonggrang yang melegenda, menjadikannya warisan dunia UNESCO yang wajib dikunjungi untuk merasakan keagungan sejarah, spiritualitas, dan keindahan arsitektur Jawa kuno yang abadi",success,positive,"memukau, keindahan arsitektur Jawa kuno",,,positive,arsitektur Hindu tertinggi di Asia Tenggara,,,,,positive,"megah, kisah megah, warisan dunia",,,,,,,positive,"toleransi agama, legenda Roro Jonggrang",,,,,"historical_value, scenery, service, facilities",historical_value:positive; scenery:positive; service:positive; facilities:positive,4,positive
Candi Prambanan,Yums,5,"Lebih baik ke sana pagi under jam 9, atau sore. Karena disana lapangan terbuka, jika siang akan terasa sangat panas disarankan membawa kipas portable dan menggunakan topi atau penutup kepala lainnya, tapi dipintu masuk banyak juga yg menawarkan rental payung dengan harga 10k sudah layak dengan harga segitu memayungi kita selama dikomplek candi.",success,,,,,positive,banyak juga yg menawarkan rental payung,positive,harga 10k sudah layak,,,,,,,,,,,,,positive,lebih baik ke sana pagi,,,"accessibility, facilities, price",accessibility:positive; facilities:positive; price:positive,3,positive
Candi Prambanan,ade candra,5,"Candi Borobudur adalah salah satu destinasi wisata ikonik di Indonesia yang menawarkan pengalaman bersejarah dan pemandangan luar biasa. Keindahan relief yang penuh detail menceritakan kisah kehidupan Buddha dan perjalanan spiritual membuat pengunjung merasa takjub dengan kecerdasan para leluhur. Suasana pagi hari saat matahari terbit sangat mempesona, dengan kabut tipis yang menyelimuti bukit sekitarnya. Tempat ini cocok untuk belajar sejarah, menikmati seni arsitektur megah, sekaligus bersanta",success,positive,"pemandangan luar biasa, keindahan relief",,,positive,"arsitektur megah, panorama alam yang menenangkan",,,,,positive,"perjalanan spiritual, kecerdasan para leluhur",,,,,,,positive,suasana pagi hari,,,,,"scenery, historical_value, service, facilities",scenery:positive; historical_value:positive; service:positive; facilities:positive,4,positive
Candi Prambanan,Putri Mei Maharani,5,"Tempat dengan candi yang cantik, penuh dengan sejarah yang magis, pelayanan staff maupun petugasnya ramah dan sangat membantu sekali untuk solo traveler. Tiketnya bisa dibeli online melalui berbagai platform dan on the spot. Untuk yang ingin menonton pertunjukkan teater, kalo di online sudah habis lebih baik beli on the spot saja karena marak penipuan terutama akun jastip. Saran untuk pengunjung jika disiang hari lebih baik kalian bawa topi/payung dan bawa sunscreen supaya ga kepanasan.",success,positive,tempat dengan candi yang cantik,,,positive,tiketnya bisa dibeli online,,,,,positive,sejarah yang magis,,,,,,,positive,pelayanan staff maupun petugasnya ramah,,,,,"scenery, historical_value, service, facilities",scenery:positive; historical_value:positive; service:positive; facilities:positive,4,positive
Candi Prambanan,Karmila Wid,4,"Tempat parkir luas. Saat musim hujan banyak yang menyewakan payung, harganya murah, cuma 10ribu tanpa batasan waktu. Datang kesini saat acara festival tahun baru naik motor dan parkir di dalam area parkir resmi candi (ada tiketnya). Datang jam 3 sore, pulang jam 23.30 an, ternyata helm saya hilang waktu mau pulang padahal motor tidak dipindah-pindah tempatnya 🥲. Tanya ke penjaga parkir tapi bapaknya tidak tahu menahu walau pada akhirnya dibantu cari helm di motor orang lain. Masukan kedepan mung",success,,,,,positive,tempat parkir luas,positive,harga 10ribu tanpa batasan waktu,,,,,,,,,,,negative,penjaga parkir tidak tahu menahu,,,,,"facilities, price, service",facilities:positive; price:positive; service:negative,3,mixed
Candi Prambanan,Bunda Shauqi,5,"Prambanan sekarang udah rapi dan bagus. Tiket masuknya dewasa 50rb, anak2 diatas 3 tahun 25rb. Bisa foto2 sampe ke dalam candi. Kalo kesini siang2 jangan lupa bawa payung atau kalo malas bawa di dalem ada penyewaan payung 10rb aja bisa sampe pintu keluar. Resto yg view candi ada dua, yg didalem prambanan resto, yg diluar rama shinta resto (bagusan yg ini view nya)..",success,positive,Prambanan sekarang udah rapi dan bagus,,,positive,bisa foto2 sampe ke dalam candi,positive,tiket masuknya dewasa 50rb,,,,,,,,,,,,,,,,,"scenery, price, facilities",scenery:positive; price:positive; facilities:positive,3,positive
Candi Prambanan,Wanto TSD,4,"Candi Peninggalan kerajaan Mataram, mengingat kan tingginya peradaban nenek moyang ku. Tiket masuk weekday dewasa Rp. 50k, anak Rp. 25K, sedangkan weekend Rp. 65K, anak Rp. 35K, tersedia juga tiket terusan istana Ratu Boko dg tiket dewasa Rp 80K anak Rp. 40K, di weekend dewasa Rp. 100K dan anak Rp. 50K Semakin tertata bersih rapi, sayang nya kemarin mau ke toilet dan wudhu tidak ada air. Bisa tolong pengelola utk pemeriksaan fasilitas nya, jika perlu di diberikan no telp CS agar setiap masalah d",success,,,,,negative,tidak ada air di toilet dan wudhu,positive,tiket masuk weekday dewasa Rp. 50k,,,positive,Peninggalan kerajaan Mataram,,,,,,,,,,,,,"historical_value, price, facilities",historical_value:positive; price:positive; facilities:negative,3,mixed
Candi Prambanan,Septiani,5,"Wonderful experience 🩷. Tempat bersejarah yang penuh dengan nilai historis dan berdiri dengan arsitektur yang sangat indah. Such an amazing place. Utamanya candi Siwa yang berdiri menjulang tinggi. Di kompleks candi ada museum yang bisa dikunjungi secara gratis, tanpa tambahan biaya, dan dilengkapi pertunjukan audio visual. Keren banget🩷. Harga tiket masuknya masih affordable, untuk wisatawan lokal dikenai harga 50rb. Wisatawan mancanegara tentu bisa berbeda. Bagi muslim yang mau sholat, di sini",success,positive,arsitektur yang sangat indah,,,positive,"museum yang bisa dikunjungi secara gratis, pertunjukan audio visual",positive,harga tiket masuknya masih affordable,,,positive,nilai historis,,,,,,,,,,,,,"scenery, historical_value, facilities, price",scenery:positive; historical_value:positive; facilities:positive; price:positive,4,positive
Candi Prambanan,Rakhmidianarrafi Nuhwan,5,"Kesini di awal Agustus, ada beberapa candi di lapangan utama yang lagi dalam tahap perbaikan. But overall everything is good. Cuma memang ruame poll aja kalau weekend. Nggak tau deh kalau weekday. Untuk htm masuk masih 50.000, hanya untuk masuk candi Prambanan ya. Untuk tiket terusan ke candi boko harganya beda lagi. Bisa di cek di website atau platfom media sosialnya.",success,,,,,positive,fasilitas yang ditawarkan sesuai dengan harga tiket yang dibayarkan,positive,harga tiket masuk masih 50.000,,,,,,,,,,,,,,,,,"facilities, price",facilities:positive; price:positive,2,positive
Candi Prambanan,Ginanjar Nur P,5,Candi Prambanan Salah satu tempat iconic nya jogja Lokasi diperbatasan jogja jawa tengah Salah satu candi yang megah dan besar di jogja dn Indonesia Tiket nya cukup lah merogoh gocek Tapi fasilitas nya ya lumayan lengkap disini Rekomended lah buat rekreasi keluarga,success,positive,candi yang megah dan besar,,,positive,fasilitas nya ya lumayan lengkap disini,positive,tiket nya cukup lah merogoh gocek,,,,,,,,,,,,,,,,,"scenery, price, facilities",scenery:positive; price:positive; facilities:positive,3,positive
Candi Prambanan,A. Salman Alfarisi,5,"Candi Prambanan adalah salah satu mahakarya sejarah Indonesia yang memancarkan keindahan dan kebesaran peradaban masa lalu. Terletak di perbatasan Yogyakarta dan Jawa Tengah, kompleks candi ini berdiri megah dengan arsitektur yang menakjubkan — setiap relief dan ukirannya menceritakan kisah epik Ramayana yang penuh makna. Suasana di sekitar candi terasa tenang dan sakral, berpadu dengan udara sejuk dan pemandangan alam yang indah. Menjelang sore, sinar matahari keemasan yang menyinari puncak can",success,positive,keindahan dan kebesaran peradaban masa lalu,,,positive,"area parkir luas, jalur pedestrian rapi, pusat informasi dan museum mini",,,positive,tenang dan sakral,positive,mahakarya sejarah Indonesia,,,,,,,positive,pelayanan,,,,,"historical_value, scenery, atmosphere, facilities, service",historical_value:positive; scenery:positive; atmosphere:positive; facilities:positive; service:positive,5,positive
Candi Prambanan,Rahmad,5,"Objek wisata super nya jogjakarta 😁 Terletak sekitar 18km dari pusat kota Tiket masuk 50k per orang Di parkiran sudah ada jasa sewa payung 10k/buah, dan ini emang perlu banget karna disini panas banget, wajib juga pake sunscreen dan sunblock ya guys, kalo ga ntar jadi gosong kyk saya Masuk kedalam lumayan banyak taman² teduh dan sangat bersih dan terawat, lanjut terus sampai ke komplek candi nya (lagi renovasi). Kita bisa naik keatas dan masuk kedalam ngeliat patung² nya. Di bbrp spot juga ada l",success,positive,super,positive,sangat bersih dan terawat,positive,taman² teduh,positive,50k per orang,,,,,,,,,,,positive,ramah banget dan helpful,,,,,"scenery, price, cleanliness, facilities, service",scenery:positive; price:positive; cleanliness:positive; facilities:positive; service:positive,5,positive
Candi Prambanan,Rofingatun Nikmah,5,"Candi Prambanan benar-benar megah dan menakjubkan! Kompleks candinya luas, bersih, dan terawat dengan sangat baik. Setiap sudutnya punya nilai sejarah dan arsitektur yang luar biasa indah. Disarankan datang pagi hari supaya tidak terlalu panas saat berkeliling, atau sore hari sekalian biar bisa menikmati suasana matahari terbenam yang cantik di balik candi. Banyak spot foto menarik, juga ada taman dan area jalan kaki yang nyaman. Wajib dikunjungi kalau ke Yogyakarta atau sekitarnya!",success,positive,megah dan menakjubkan,positive,"bersih, dan terawat dengan sangat baik",positive,luas,,,,,,,,,,,,,positive,disarankan datang pagi hari,,,,,"scenery, cleanliness, facilities, service",scenery:positive; cleanliness:positive; facilities:positive; service:positive,4,positive
Candi Prambanan,Naqiibatin Nadliriyah,5,"Kesini dua kali setahun ini🤣. Nonton konser pas malam hari yakni, Prambanan Jazz bulan Juli kemarin sama nemenin temen aja kok papasan sama kirab budaya. Harga tiket dewasa 50rb, anak2 25ribu, bisa beli ots atau tiket online di tiket.com atau traveloka. Karena area sangat luas, jadi usahakan jalan kaki santai aja, karena pas anak temen ngerengek capek jalan, kita yang bingung. Akhirnya berhenti dulu beli minuman🤣. Sebenarnya ada penyewaan sepeda sama skuter sih. Tapi ya vibesnya enak jalan kaki ",success,,,,,positive,area sangat luas,positive,harga tiket dewasa 50rb,,,,,negative,sate 1 porsi hrg 40rb (sdh tny hrg di awal) trnyta isinya cm 3 tusuk,,,,,positive,pelayanan,,,,,"price, facilities, service, food",price:positive; facilities:positive; service:positive; food:negative,4,positive
Candi Prambanan,Umma ArRayyan,5,"First time ke candi prambanan, saya dtg ke sini jm 6 pagi. Loket blm buka, buka jm 06.30. Mau beli tiket online trnyta ga bs pake DANA. Bawa roti di tas,tas di cek&roti diambil trs dititipin. Bs diambil di pintu kluar. Pdhl saya blm sarapan,tp dtawarin mau dimakan dlu/tdk roti nya. Area candi luas. Pas cerah,jd jm 8 sdh mulai terasa panas. Wajib bwa topi/sewa payung,terutama buat yg gmpang migrain ky saya. Buat yg mau jajan di pasar apa saya lupa namanya,yg msh di area dlm candi,jgn lupa siapin ",success,positive,cantik sekali,positive,bersih,positive,luas,negative,sate 1 porsi hrg 40rb,,,,,,,,,,,positive,wajib bwa topi/sewa payung,,,,,"scenery, cleanliness, facilities, service, price",scenery:positive; cleanliness:positive; facilities:positive; service:positive; price:negative,5,positive
Candi Prambanan,Adinda Saraswati,5,"Cantikkkk sekali candinya ❤ Pergi ke candi Prambanan ini naik motor, lumayan jauh, tapi jalannya ga sepi karna jalanan besar antar provinsi, masih aman ga banyak kendaraan besar. Pas datang lagi ada perbaikan di candi utama, Suaranya panas sekali jangan lupa bawa payung, dan air mineral yaa. (Juli 2025 bersama Yulianti)",success,positive,cantik sekali,positive,bersih,positive,luas,,,,,,,,,,,,,positive,"wajib bwa payung, dan air mineral yaa",,,,,"scenery, cleanliness, facilities, service",scenery:positive; cleanliness:positive; facilities:positive; service:positive,4,positive
Candi Prambanan,Anis Murni,5,"Dateng ke sini pas lagi perbaikan di beberapa candi utama. Udaranya panas banget. Tempatnya cantik dan bersih. Luas banget yaa ternyata dengan tiket 50k ngga cuma keliling candi Prambanan tapi seluruh area di lingkungan itu. Aku lupa candi2 apa aja. Jangan lupa pakai sunscreen, bawa payung / topi dan bawa air mineral yaa + ga boleh bawa makanan ke dalam area candi",success,positive,cantik dan bersih,,,positive,luas,,,,,,,,,,,,,positive,"wajib bwa sunscreen, bawa payung / topi dan bawa air mineral yaa",,,,,"scenery, facilities, service",scenery:positive; facilities:positive; service:positive,3,positive
Candi Prambanan,Eka Firdhausia Putri,5,"Candi Prambanan emang gak pernah gagal bikin kagum! 😍 Dari jauh aja udah kelihatan megah banget, apalagi pas udah deket — detail ukirannya keren parah. Suasananya juga tenang, cocok buat jalan santai sambil foto-foto. Datang sore-sore lebih enak, gak terlalu panas dan bisa sekalian nikmatin sunset di belakang candi Fasilitasnya juga lumayan lengkap, ada area parkir luas, toilet, sama tempat makan. Pokoknya wajib banget mampir kalau ke Jogja🤩",success,positive,megah banget,,,positive,"area parkir luas, toilet, sama tempat makan",,,positive,tenang,,,,,,,,,positive,wajib banget mampir,,,,,"scenery, atmosphere, facilities, service",scenery:positive; atmosphere:positive; facilities:positive; service:positive,4,positive
Candi Prambanan,Beny Sullivan,5,Situs wisata yang sangat bersejarah. Wajib kesini supaya tau sejarah asal muasal candi prambanan. Kalau ada rezeki lebih boleh banget sewa pemandu atau guide yg bisa menjelaskan secara detail ttg sejarah candi.,success,,,,,,,,,,,positive,situs wisata yang sangat bersejarah,,,,,,,positive,wajib kesini supaya tau sejarah asal muasal candi prambanan,,,,,"historical_value, service",historical_value:positive; service:positive,2,positive
