destination,username,stars,original_text,aspects_detected,aspect_sentiments,num_aspects,overall_sentiment,analysis_status
Pantai Baru,Annisa Mulia Nastiti,4,"Di kawasan ini ada cukup banyak pantai. Biaya retribusi dibayarkan di pos paling depan, sebesar 10ribu/orang. Setelah itu, di area parkir dikenakan 5ribu/mobil Pantai ini menjadi pilihan untuk kami kunjungi di lebaran hari kedua. Karakter pantainya berpasir gelap, ombak besar, dan angin yang sangat kencang (bagi saya). Di sana banyak sekali warung2 makan di sepanjang pantai. Jadi gak perlu khawatir akan kelaparan. Makan sesi pertama, kami pesan gorengan bakwan dan tempe. Saking enaknya menyantap",,,0,error,failed
Bukit Bintang,Nadaa Ramadhani,5,"Sebelum pulang ke Kalimantan, menikmati pemandangan di bukit bintang. Bagi saya, terasa berat untuk meninggalkan Jogja, banyak kenangan dikota ini.",,,0,error,failed
Situs Warungboto,Mskputri,5,Datang kesini di jam 4 sore. Pas ngga ada pengunjung lain. Cahaya matahari pas bagus. Buat foto-foto vintage cocok banget sih. Di depan bayar parkir 3000 dan isi kotak seikhlasnya ya..,,,0,error,failed
Museum Ullen Sentalu,Dimas Difel,5,"Pengalaman ke Museum Ullen Sentalu menurutku luar biasa dan sangat berkesan. Lokasinya berada di kawasan Kaliurang, dengan udara sejuk dan suasana yang tenang. Begitu masuk area museum, nuansa alam dan arsitektur bangunannya langsung bikin betah—banyak taman hijau, batu alam, dan desain yang terasa menyatu dengan lingkungan. Konsep museumnya unik, karena setiap kunjungan dilakukan dalam bentuk tur berkelompok (kloter) yang dipandu pemandu profesional. Mereka menjelaskan sejarah, budaya, dan kisa",,,0,error,failed
Pantai Sundak,Lmgn,4,"Tiket masuk 15.000 / orang Parkir di dalam 10.000 / motor Penginapan yang dekat pantai overated dengan kamar dan bangunan yang sangat kureng harganya diminta 250.000-nego jadi 150.000. Makanan harganya standar dan rasanya juga lumayan enak. Agak blusukan tempatnya tapi nice experience disini. Staff retribusi didepan ramah (bintang 5👍🏻👍🏻👍🏻) sampai di antar ke parkiran karena datangnya jam 12 malam. Overall tempatnya enak, bakal balik lagi kesini someday, masih ada ruang untuk perkembangan.",,,0,error,failed
Pantai Wediombo,Ake Widyastomo,5,"Salah satu pantai dengan pesona sekaligus pemandangan matahari tenggelam terbaik di Jogja. Jarak tempuh sekitar 2,5 jam dari kota Yogyakarta. Akses menuju lokasi lewat jjls sudah sangat baik dengan jalan yang lebar dan mulus. Area pantai memiliki hamparan pasir putih bercampur karang dari biota laut yang mati terbawa ke daratan. Bebatuan karang besar yang menjulang juga turut menghiasi lansekap pantai ini. Ombak relatif tenang. Untuk memasuki kawasan pantai dikenai retribusi 10k rupiah per dua o",,,0,error,failed
Museum Ullen Sentalu,Latipah Rahman,5,"Tempatnya oke banget, banyak informasi hidden gems dan memang ada tour guide nya juga. Secara tiket masuk agak lumayan.",,,0,error,failed
Candi Prambanan,A. Salman Alfarisi,5,"Candi Prambanan adalah salah satu mahakarya sejarah Indonesia yang memancarkan keindahan dan kebesaran peradaban masa lalu. Terletak di perbatasan Yogyakarta dan Jawa Tengah, kompleks candi ini berdiri megah dengan arsitektur yang menakjubkan — setiap relief dan ukirannya menceritakan kisah epik Ramayana yang penuh makna. Suasana di sekitar candi terasa tenang dan sakral, berpadu dengan udara sejuk dan pemandangan alam yang indah. Menjelang sore, sinar matahari keemasan yang menyinari puncak can",,,0,error,failed
Candi Prambanan,Indrawan Saputra,5,"salah satu candi terindah di Yogyakarta Kamu bisa menuju candi dengan menggunakan KRL Ygy - Palur dengan turun di stasiun Brambanan. Cukup jalan kaki skitar 800 meter untuk sampai di Candi Prambanan. Dengan HTM Rp. 50.000,- kamu bsa menikmati keindahan 4 Keindahan Candi :)",,,0,error,failed
Pantai Parangtritis,Keisya Keisyaraisita,5,"Pantai Parangtritis, pemandangan yang bagus cuaca yang panas dan cerah serta sejuk,ada juga pohon yang besar.harga tiket masuk 15 ribu perorang serta ada juga mobil Jeep dan ktv cocok untuk pergi jalan jalan.ombaknya juga sangat bagus dan pasir yang lembut.ketika bermain ombak jangan terlalu jauh jauh nanti bisa keseret ombak.apalgi cocok untuk orang lain pergi ke pantai Parangtritis.ada juga sunset di dore hari.btw pengen banget pergi kepantai soalnya bagus bgt, oh ya ketika liburan jangan lupa",,,0,error,failed
Pantai Slili,Nandang Pitoyo,4,"Pantai Slili merupakan salah satu pantai di Gunung Kidul Yogyakarta dengan pasir putih dan ombaknya lumayan besar. Pantainya lumayan bersih walau masih ada sampah plastik berserakan. Disini banyak tersedia gazebo yang disewakan, tapi karena kami datangnya kesiangan jadi gazebonya sudah penuh semua. Berhubung sepanjang pantai penuh pengunjung, kami cari tempat yang agak sepi yaitu di ujung timur pantai dekat bukit karang. Untuk retribusi masuk kawasan 10 ribu/orang dan parkir mobil 15 ribu.",,,0,error,failed
Pantai Ngobaran,Fahry Adam,5,"pantai yang bagus , pada saat saya berkunjung kondisi pantai lumayan sangat ramai pengunjung mungkin karena saat itu akhir pekan . tapi pantai ini sangat bagus cocok untuk berlibur dengan keluarga dan teman teman . menikmati pantai dibawah payung dan beralaskan tikar sambil mengisi energi kembali , bisa juga pesan makanan dan minuman nanti akan diantarkan ketempat kita bersantai . ketersediaan tempat ganti baju dan toilet juga banyak disekitaran pantai . semoga pantai selalu terjaga kebersihanny",,,0,error,failed
Tugu Jogja,Danish Kurniawidi,5,"Iconik Jogja, sebelum masuk Malioboro selalu lewat sini, dulu selalu di sempatkan foto disini sebelum di pagar, sekarang mau foto takut karena jalannya rame. Tambah rapi dan bersih",,,0,error,failed
Pantai Kesirat,Siti Rohimah,5,"Pantai Kesirat yang terletak di Desa Girikarto Kecamatan Panggang Kabupaten Gunungkidul Provinsi Daerah Istimewa Yogyakarta ini memiliki hamparan rumput di tebing yang tidak rata. Pantai Kesirat ini populer untuk dijadikan tempat memancing dan berkemah. Akan sangat indah kala dikunjungi saat senja karena panorama matahari terbenamnya yang memukau. Akses menuju Pantai Kesirat sudah bagus, namun medan jalan sempit dan melewati beberapa tanjakan dan turunan yang curam. Dari tempat parkir kita akan ",,,0,error,failed
Pantai Baron,Faqihurrahman Andi,5,"ke sini dua kali, 2010 dan 2013 tidak terlalu ramai bisa main bola pasirnya hitam",,,0,error,failed
Malioboro,Eko Waluyo,5,"Tempat hilling yang sangat menyenangkan, banyak makanan, jajanan dan oleh2 yang banyak macamnya, untuk yang paling spesial adalah gudeg jogja, bakpia patok, bakpia kukus dll, bisa keliling kota naik andong, becak dan trans jogja, yang paling nyeni adalah menikmati kopi sambil lihat orang lalu lalang di jalan malioboro.",,,0,error,failed
Museum Ullen Sentalu,Mukhamad Arif,5,"Saya datang di museum ini perkiraan pukul 14.00 menjelang sore. Mendung dan gelap. Rada2 mistis rasanya dikarenakan rimbunan tetanaman. Masuk terbatas 15 orang. Dilarang foto dan menyentuh properti. Bagus banget dalemnya. Terawat dan terjaga. Kain, lukisan properti kerajaan dan tulisan puisi. Sangat menarik sekali mendengar paparan dari petugas(pemandu) museum. Penjelasan sangat lengkap dan detail. Andai hanya lihat2 tanpa pemandu pasti membosankan. Ada cerita dari pemandu akhirnya hiduplah suas",,,0,error,failed
Pantai Depok,Kurnia ma'rifah,5,"Pantai dengan background kapal2 nelayan ada TPI, ikan seger2, gak terlalu panjang pantainya tapi bersih pantainya. ada ATV , jip . Selain warung2 nya yg menyediakan ikan segar, jika ada ikan2 atau seafood yg sdh di goreng dijual kiloan. Walau gk sebanyak di pantai lain Ada sarapan bubur krecek kalau pagi2 Ckp viral di tik tok, jd banyak yg berkunjung O ya masuk ke sini bayar 15 rb utk 3 pantai depok, baru, goa cemara",,,0,error,failed
Pantai Baru,Lisa Kelen,5,"Akses menuju pantai jelas n lancar, karcis masuk ke area pariwisata pantai selatan Rp 10ribu aja, kalau ke Pantai Baru nya terdapat petunjuk arah yg jelas, ada lokasi untuk kincir angin sebagai PLTS n angin, pengembangan untuk beberapa vegetasi seperti sayuran, buah, bawang, dll. Ada wahana bermain ATV, kolam renang anak, bebas untuk para pemancing dan berbagai pilihan tempat makan ikan hasil tangkapan nelayan setempat. Terdapat WC dan penyewaan tikar bagi yg ingin bersantai.",,,0,error,failed
Situs Warungboto,talitha zerlinda,5,Belum terlalu ramai. Tiket masuk saat itu seikhlasnya. Bisa sewa guide yg nantinya menjelaskan tiap sudut bagian.,,,0,error,failed
Pantai Baru,Mrs. Kovitski,4,"Pantainya cocok utk liburan bersama keluarga.. banyak warung makan yg menyajikan aneka seafood dg rasa enak dan harga yg wajar.. makan lesehan pake tiker dibawah pohon dg semilir angin sangat menyenangkan. Bisa sewa ATV 40rb/15 menit. Pantainya curam dan ombaknya besar, jd sebaiknya ga mandi di laut. Kebersihan pantai cukup terjaga, banyak tersedia tempat sampah dan ada petugas sampah yg rutin memungut sampah. Sudah cukup bagus dan perlu ditingkatkan lg kebersihannya.",,,0,error,failed
Situs Warungboto,PAIMO van JAVA,5,"Berawal dari adanya TUK atau mata air tersebut maka sebutan Pesanggrahan Rejawinangun banyak orang yang menyebutnya TUK UMBUL. Tuk Umbul yang berada di wilayah administrative Warungboto maka bangunan tersebut dinamakan juga sebagai Situs Warungboto. Dibangun oleh Sultan Hamengkubuwono II, selisih dua ratus tahun dengan era panembahan Senopati Konon makam sebenarnya dari kanjeng Ratu Mas Mustika Jawi (Waskito Jawi) - istri panembahan Senopati yang sebenarnya ada di sini. Yang di makam raja-raja M",,,0,error,failed
Museum Ullen Sentalu,Jhonsi P Purba,5,"Kami datang ketempat ini secara rombongan dan ini termasuk salah satu agenda jalan-jalan kami di Jogjakarta. Ullen Sentalu adalah museum yang terletak di Kaliurang di kaki Gunung Merapi. Museum budaya yang menjelaskan kehidupan para bangsawan dinasti Mataram (baik di Jogyakarta maupun Surakarta) atau sejarah keraton. Pengunjung museum dilarang untuk meliput, merekam dan memphoto selama mengikuti tur ini. Pengunjung akan dipandu oleh seorang staf pramuwisata dari museum yang akan menjelaskan semu",,,0,error,failed
Prawirotaman,silvia sari humaidah,5,selalu jadi andalan kalo bingung mau makan dimana. apalagi suka kasih disc by tiktok asik banget deh makan enak tetep hemat,,,0,error,failed
Pantai Sadeng,Wowrisang,5,"Tempat nya keren, view laut dari pelabuhan , dikelilingi bukit kapur, cocok untuk para angler casting, banyak ikan panjo , barakuda dan berbagai ikan karang",,,0,error,failed
Situs Warungboto,Meira Sagita,5,"setiap sudutnya aesthetic dan tidak serame di taman sari, bayar parkir sama bayar masuk sukarela, hari minggu pun buka",,,0,error,failed
Agrowisata Bhumi Merapi,Jihan Fauziah,5,"berkunjung kesini hari senin kemarin, tempatnya enak, rindang, adem, awal masuk gak banyak orang jadi bisa foto2 sepuasnya tapi semakin siang semakin ramai orang karena udah mulai libur sekolah.. cocok untuk ajak keluarga dari anak2 sampai lansia, recommended 🫶",,,0,error,failed
Pantai Wediombo,mas brow,5,"Masya Allah, nikmat Tuhan mana lg yg engkau dustakan....nyore di blue lagoon meski gak dpt sunset tp puas dg view nya, terbyr semua lelah di perjlnan dan anak2 puas berenang di lagunanya",,,0,error,failed
Pantai Sadeng,AkbarPratama_18,5,"View pantai bagus, bisa beli ikan langsung dari nelayan",,,0,error,failed
Agrowisata Bhumi Merapi,Winda Handini,5,Tempat bagus buat foto² melepas penat karena sejuk sangat padahal siang,,,0,error,failed
Bukit Bintang,Abni Tsalis,5,"Bagus pemandangan nya ,cuaca mendukung walaupun malam hari dan tidak hujan.",,,0,error,failed
Pantai Sadranan,tsabitank_,5,"Bagusss pantainya cakeeep bersihh pasirnya haluss tp ada sih daerah yg banyak kerikil tp banyaknya haluuus. Bagian depan banyak yg jualan seafood tempura murah. Ada banyak photografer jugaa kalo gasalah 5000/foto. Hasil fotonya bagus👍🏻 ada snorkeling juga kalo cuaca ok bisa, banyak saung2nya juga bisa duduk2 tp kayaknya bayar? Gatau sih soalnya pas itu beli kopi jd gadiminta bayar saung.. oya ini seingetku ini kawasan pantai jd ada biaya masuknya gitu di gerbang sm di tengah jd 2x bayar pokoknya",,,0,error,failed
Prawirotaman,margaretha devy,4,"Ramenya cuman pas malming, banyak cafe sbnernya. Cuman agak sepi selain malming,",,,0,error,failed
Agrowisata Bhumi Merapi,DeviKS,4,Datang dihari jum'at pagi..sepi. Tapi jadi puas foto2nya. Banyak spot foto yg menarik. O iya ada mini zoo jg. Tempatnya luas. Parkiran jg luas.,,,0,error,failed
Pantai Ngobaran,Arief Doel,4,View nya saja yg bagus... Kurang sip buat main air laut,,,0,error,failed
Pantai Slili,erna wati,5,Pantai slili yg berada di gunung kidul Pantai yang indah bisa buat bermain air.tersedia banyak gasebo untuk menikmati pemandangan laut. Ada yang lebih seru bisa naik jeep keliling pantai.harga terjangkau sekali.bagus buat foto dengan jeep warna warni.,,,0,error,failed
Malioboro,Ayu Rachmadany,5,Senang banget di jalan malioboro ini. Ramai dan seru. Jam 6 sore jalan udah di tutup jd bebas dari kendaraan motor dan mobil. Dan syukurnya hotel tmpt aku nginap pas depan jalan malioboro,,,0,error,failed
Gumuk Pasir Parangkusumo,Lonewolf愛,5,"Gumuk Pasir adalah destinasi wisata berlokasi di Desa Parangkusumo, Kecamatan Kretek, Bantul, Yogyakarta, Indonesia. Lokasinya dekat dengan pantai Parangtritis dan dapat dijangkau dengan mudah dari pusat kota Yogyakarta, membuatnya menjadi destinasi wisata yang populer di daerah tersebut. Daya tariknya berupa pemandangan pasir yang luas dan indah. Tempat ini sering menjadi tujuan wisatawan yang mencari pengalaman unik di tengah padang pasir. Suasana gurun yang tenang namun menakjubkan memberikan",,,0,error,failed
Pantai Gesing,Syakira Nayla,5,"bagusss bangettttttt, setiap sudutnya bisa dibuat foto, pemandangannya cantik bgt bikin gamau pulang. worth it sama tiketnya mnrt ku smoga ga tmbah naik haha, akses masuk kesana bagus, kmr mndi gratis, bisa duduk dmna aja tnpa hrs sewa gazebooo pokoknya senyaman dansecantik ituuuu",,,0,error,failed
Pantai Sadeng,Anisa Fitri,5,"Pantai yang merupakan kawasan pelabuhan perikanan untuk bersandar kapal-kapal kecil. Dari ungkapan orang asli sana, pantai ini biasanya digunakan untuk memancing dan tempat refresing saja, karena bibir pantai sangat kecil dan ombak terlalu besar. Htm sendiri free, kebersihan lumayan terjaga.",,,0,error,failed
